Employee_Name,EmpID,Salary,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,IsTerminated,AttritionFlag,Age,Tenure_Years,EngagementLevel,AgeGroup,SalaryBand
"Petrowsky, Thelma",10016,93554,Data Analyst,MA,01886,16/09/1984,F,Married,US Citizen,No,Black,11/10/2014,,N/A-StillEmployed,Active,IS,Simon Roup,4,Employee Referral,Exceeds,4.6,5,7,01/04/2019,0,16,0,0,40,10.8,High,30s,Very High
"Liebig, Ketsia",10017,77915,Production Manager,MA,02110,26/10/1981,F,Married,US Citizen,No,White,30/09/2013,,N/A-StillEmployed,Active,Production,Janet King,2,Website,Exceeds,4.1,3,0,21/01/2019,0,11,0,0,43,11.8,High,40s,Very High
"Girifalco, Evelyn",10018,57815,Production Technician I,MA,02451,05/08/1980,F,Single,US Citizen,Yes,White,29/09/2014,,N/A-StillEmployed,Active,Production,Amy Dunn,11,Indeed,Exceeds,3.9,4,0,02/07/2019,0,3,0,0,45,10.8,Medium,40s,Medium
"Corleone, Vito",10019,61620,Director of Operations,MA,02030,19/03/1983,M,Single,US Citizen,No,Black,01/05/2009,,N/A-StillEmployed,Active,Production,Janet King,2,Indeed,Exceeds,3.7,5,0,02/04/2019,0,15,0,0,42,16.3,Medium,40s,Medium
"Robinson, Elias",10020,63353,Production Technician I,MA,01730,28/01/1985,M,Widowed,US Citizen,No,White,07/08/2013,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Employee Referral,Exceeds,3.6,5,0,02/11/2019,0,4,0,0,40,12,Medium,30s,High
"Osturnka, Adeel",10021,47414,Production Technician I,MA,02478,12/11/1976,M,Married,US Citizen,No,White,30/09/2013,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,LinkedIn,Exceeds,5,3,0,02/07/2019,0,13,0,0,48,11.8,High,40s,Low
"Volk, Colleen",10022,49773,Production Technician I,MA,02747,06/03/1986,F,Married,US Citizen,No,White,26/09/2011,02/08/2016,gross misconduct,Terminated For Cause,Production,Kelley Spirea,18,Google Search,Exceeds,4.3,5,0,02/01/2015,0,18,1,1,39,4.9,High,30s,Low
"Beak, Kimberly  ",10023,70131,Production Technician II,MA,02145,17/04/1966,F,Married,US Citizen,No,White,21/07/2016,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,Employee Referral,Exceeds,4.4,3,0,14/01/2019,0,16,0,0,59,9,High,50s,Very High
"Szabo, Andrew",10024,92989,Software Engineer,MA,02140,05/06/1983,M,Single,US Citizen,No,White,07/07/2014,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,LinkedIn,Exceeds,4.5,5,5,18/02/2019,0,1,0,0,42,11.1,High,40s,Very High
"Monterro, Luisa",10025,72460,Production Technician II,MA,02126,24/04/1970,F,Single,US Citizen,No,Black,13/05/2013,,N/A-StillEmployed,Active,Production,Kissy Sullivan,20,Indeed,Exceeds,4.7,3,0,14/01/2019,0,1,0,0,55,12.2,High,50s,Very High
"Adinolfi, Wilson  K",10026,62506,Production Technician I,MA,01960,07/10/1983,M,Single,US Citizen,No,White,07/05/2011,,N/A-StillEmployed,Active,Production,Michael Albert,22,LinkedIn,Exceeds,4.6,5,0,17/01/2019,0,1,0,0,41,14.2,High,40s,High
"Smith, Joe",10027,60656,Production Technician II,MA,02045,30/10/1963,M,Single,US Citizen,No,White,29/09/2014,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Indeed,Exceeds,4.3,3,0,28/01/2019,0,4,0,0,61,10.8,High,60+,Medium
"Dougall, Eric",10028,61620,IT Manager - Support,MA,01886,07/09/1970,M,Single,US Citizen,No,Black,01/05/2014,,N/A-StillEmployed,Active,IT,Jennifer Zamora,5,Indeed,Exceeds,4.3,5,5,01/04/2019,0,4,0,0,54,11.3,High,50s,Medium
"Clukey, Elijian",10029,50373,Production Technician I,MA,02134,26/08/1980,M,Married,US Citizen,No,White,07/06/2016,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Employee Referral,Exceeds,4.1,4,0,28/02/2019,0,5,0,0,44,9.2,High,40s,Low
"Squatrito, Kristen",10030,62425,Production Technician I,MA,02359,26/03/1973,F,Divorced,US Citizen,No,White,13/05/2013,29/06/2015,unhappy,Voluntarily Terminated,Production,David Stanley,14,LinkedIn,Exceeds,4.1,4,0,03/02/2015,0,16,1,1,52,2.1,High,50s,High
"Gonzalez, Cayo",10031,59892,Production Technician I,MA,02108,29/09/1969,M,Divorced,US Citizen,No,Black,07/11/2011,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Diversity Job Fair,Exceeds,4.5,4,0,18/02/2019,0,1,0,0,55,13.7,High,50s,Medium
"Peters, Lauren",10032,57954,Production Technician II,MA,01886,17/08/1986,F,Married,US Citizen,No,White,16/05/2011,02/04/2013,more money,Voluntarily Terminated,Production,Ketsia Liebig,19,Indeed,Exceeds,4.2,5,0,01/10/2013,0,12,1,1,38,1.9,High,30s,Medium
"Winthrop, Jordan  ",10033,70507,Production Technician II,MA,02045,11/07/1958,M,Single,US Citizen,No,White,01/07/2013,21/02/2016,retiring,Voluntarily Terminated,Production,Brannon Miller,12,LinkedIn,Exceeds,5,3,0,19/01/2016,0,7,1,1,67,2.6,High,60+,Very High
"Johnson, George",10034,46837,Production Technician I,MA,02445,19/08/1959,M,Married,US Citizen,No,White,11/07/2011,29/04/2018,more money,Voluntarily Terminated,Production,Michael Albert,22,CareerBuilder,Exceeds,4.7,4,0,14/02/2018,0,9,1,1,65,6.8,High,60+,Low
"Lunquist, Lisa",10035,73330,Production Technician II,MA,02324,28/03/1982,F,Single,US Citizen,No,Black,19/08/2013,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Indeed,Exceeds,4.2,4,0,02/12/2019,0,19,0,0,43,12,High,40s,Very High
"Johnston, Yen",10036,63322,Production Technician II,MA,02128,09/08/1969,F,Single,US Citizen,No,White,07/07/2014,,N/A-StillEmployed,Active,Production,Brannon Miller,12,LinkedIn,Exceeds,4.3,3,0,01/11/2019,0,1,0,0,56,11.1,High,50s,High
"Ngodup, Shari ",10037,52984,Production Technician I,MA,01810,06/03/1967,F,Separated,US Citizen,No,Black,04/01/2013,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Diversity Job Fair,Exceeds,4,3,0,13/02/2019,0,12,0,0,58,12.6,High,50s,Low
"LaRotonda, William  ",10038,64520,Accountant I,MA,01460,26/04/1984,M,Divorced,US Citizen,No,Black,01/06/2014,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,1,Website,Fully Meets,5,4,4,17/01/2019,0,3,0,0,41,11.2,High,40s,High
"Singh, Nan ",10039,51920,Administrative Assistant,MA,02330,19/05/1988,F,Single,US Citizen,No,White,05/01/2015,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,1,Website,Fully Meets,5,3,5,15/01/2019,0,2,0,0,37,10.6,High,30s,Low
"Carter, Michelle ",10040,71860,Area Sales Manager,VT,05664,15/05/1963,F,Single,US Citizen,No,White,18/08/2014,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,Fully Meets,5,5,0,21/01/2019,0,7,0,0,62,11,High,60+,Very High
"Ozark, Travis",10041,68829,Area Sales Manager,NC,27229,19/05/1982,M,Single,US Citizen,No,White,01/05/2015,,N/A-StillEmployed,Active,Sales,John Smith,17,Website,Fully Meets,5,5,0,14/01/2019,0,18,0,0,43,10.3,High,40s,Very High
"Nguyen, Dheepa",10042,63695,Area Sales Manager,GA,30428,31/03/1989,F,Single,US Citizen,No,White,07/08/2013,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Fully Meets,5,5,0,25/01/2019,0,2,0,0,36,12,High,30s,High
"Zhou, Julia",10043,89292,Data Analyst,MA,02148,24/02/1979,F,Single,US Citizen,No,White,30/03/2015,,N/A-StillEmployed,Active,IS,Simon Roup,4,Employee Referral,Fully Meets,5,3,5,02/01/2019,0,11,0,0,46,10.3,High,40s,Very High
"Tredinnick, Neville ",10044,75281,Network Engineer,MA,01420,05/05/1988,M,Married,US Citizen,No,White,01/05/2015,02/12/2016,medical issues,Voluntarily Terminated,IT,Peter Monroe,7,CareerBuilder,Fully Meets,5,3,5,15/04/2015,0,11,1,1,37,1.6,High,30s,Very High
"Turpin, Jumil",10045,76029,Network Engineer,MA,02343,31/03/1969,M,Married,Non-Citizen,No,White,30/03/2015,,N/A-StillEmployed,Active,IT,Peter Monroe,7,Employee Referral,Fully Meets,5,4,7,14/01/2019,0,8,0,0,56,10.3,High,50s,Very High
"Bernstein, Sean",10046,51044,Production Technician I,MA,02072,22/12/1970,M,Single,US Citizen,Yes,White,04/02/2012,,N/A-StillEmployed,Active,Production,Amy Dunn,11,Google Search,Fully Meets,5,3,0,14/01/2019,0,13,0,0,54,13.5,High,50s,Low
"Robinson, Alain  ",10047,50428,Production Technician I,MA,01420,01/07/1974,M,Married,US Citizen,No,Black,01/10/2011,26/01/2016,attendance,Voluntarily Terminated,Production,Amy Dunn,11,Indeed,Fully Meets,5,3,0,01/10/2015,0,11,1,1,51,4.3,High,50s,Low
"Wilber, Barry",10048,55140,Production Technician I,MA,02324,09/09/1965,M,Married,Non-Citizen,No,White,16/05/2011,09/07/2015,unhappy,Voluntarily Terminated,Production,Amy Dunn,11,Website,Fully Meets,5,3,0,15/02/2015,0,7,1,1,59,4.2,High,50s,Low
"Fidelia,  Libby",10049,58530,Production Technician I,MA,02155,16/03/1981,F,Married,US Citizen,No,White,01/09/2012,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Google Search,Fully Meets,5,5,0,29/01/2019,0,19,0,0,44,12.9,High,40s,Medium
"Pham, Hong",10050,64724,Production Technician I,MA,02451,03/06/1988,M,Married,US Citizen,No,Asian,07/05/2011,30/11/2012,more money,Voluntarily Terminated,Production,Brannon Miller,12,Google Search,Fully Meets,5,3,0,20/02/2012,0,13,1,1,37,1.6,High,30s,High
"Gordon, David",10051,48285,Production Technician I,MA,02169,21/05/1979,M,Married,US Citizen,No,White,07/02/2012,,N/A-StillEmployed,Active,Production,David Stanley,14,LinkedIn,Fully Meets,5,3,0,14/01/2019,0,2,0,0,46,13.5,High,40s,Low
"Langton, Enrico",10052,46120,Production Technician I,MA,02048,12/09/1986,M,Married,US Citizen,No,White,07/09/2012,,N/A-StillEmployed,Active,Production,David Stanley,14,LinkedIn,Fully Meets,5,5,0,02/04/2019,0,13,0,0,38,12.9,High,30s,Low
"Maurice, Shana",10053,54132,Production Technician I,MA,02330,22/11/1977,F,Married,US Citizen,No,White,31/05/2011,,N/A-StillEmployed,Active,Production,David Stanley,14,Indeed,Fully Meets,5,4,0,01/10/2019,0,8,0,0,47,14.2,High,40s,Low
"Rose, Ashley  ",10054,60627,Production Technician I,MA,01886,12/05/1974,F,Separated,US Citizen,No,White,01/06/2014,,N/A-StillEmployed,Active,Production,David Stanley,14,Website,Fully Meets,5,4,0,31/01/2019,0,8,0,0,51,11.2,High,50s,Medium
"Beatrice, Courtney ",10055,59026,Production Technician I,MA,01915,27/10/1970,F,Single,Non-Citizen,No,White,04/04/2011,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Google Search,Fully Meets,5,5,0,14/01/2019,0,12,0,0,54,14.3,High,50s,Medium
"Darson, Jene'ya ",10056,57583,Production Technician I,MA,02110,11/05/1978,F,Married,US Citizen,No,White,07/02/2012,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Indeed,Fully Meets,5,3,0,25/02/2019,0,1,0,0,47,13.5,High,40s,Medium
"Lydon, Allison",10057,52057,Production Technician I,MA,02122,22/10/1975,F,Married,US Citizen,No,Black,16/02/2015,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Website,Fully Meets,5,3,0,23/01/2019,0,6,0,0,49,10.5,High,40s,Low
"Rhoads, Thomas",10058,45115,Production Technician I,MA,02176,22/07/1982,M,Divorced,US Citizen,Yes,White,16/05/2011,15/01/2016,retiring,Voluntarily Terminated,Production,Elijiah Gray,16,LinkedIn,Fully Meets,5,4,0,30/03/2015,0,11,1,1,43,4.7,High,40s,Low
"Gross, Paula",10059,63813,Production Technician I,MA,02176,21/05/1983,F,Divorced,US Citizen,No,White,21/02/2011,01/11/2014,more money,Voluntarily Terminated,Production,Kelley Spirea,18,CareerBuilder,Fully Meets,5,5,0,06/03/2013,0,17,1,1,42,3.7,High,40s,High
"Jhaveri, Sneha  ",10060,60436,Production Technician I,MA,02109,13/04/1964,F,Separated,US Citizen,No,White,01/06/2014,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,LinkedIn,Fully Meets,5,5,0,21/01/2019,0,9,0,0,61,11.2,High,60+,Medium
"Bates, Norman",10061,57834,Production Technician I,MA,02050,18/10/1981,M,Single,US Citizen,No,White,21/02/2011,08/04/2017,attendance,Terminated For Cause,Production,Kelley Spirea,18,Google Search,Fully Meets,5,4,0,04/05/2017,0,20,1,1,43,6.1,High,40s,Medium
"Athwal, Sam",10062,59365,Production Technician I,MA,02199,18/02/1983,M,Widowed,US Citizen,No,White,30/09/2013,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,Employee Referral,Fully Meets,5,4,0,25/02/2019,0,19,0,0,42,11.8,High,40s,Medium
"Newman, Richard ",10063,48495,Production Technician I,MA,02136,04/08/1977,M,Married,US Citizen,No,White,05/12/2014,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,LinkedIn,Fully Meets,5,5,0,18/02/2019,0,11,0,0,48,10.7,High,40s,Low
"Eaton, Marianne",10064,60070,Production Technician I,MA,02343,09/05/1991,F,Married,US Citizen,No,White,04/04/2011,06/06/2017,military,Voluntarily Terminated,Production,Kissy Sullivan,20,Google Search,Fully Meets,5,3,0,04/09/2017,0,7,1,1,34,6.2,High,30s,Medium
"Rossetti, Bruno",10065,53180,Production Technician I,MA,02155,18/03/1987,M,Single,US Citizen,No,White,04/04/2011,13/08/2018,Another position,Voluntarily Terminated,Production,Kissy Sullivan,20,Google Search,Fully Meets,5,5,0,07/02/2018,0,4,1,1,38,7.4,High,30s,Low
"Barton, Nader",10066,52505,Production Technician I,MA,02747,15/07/1977,M,Divorced,US Citizen,No,White,24/09/2012,04/06/2017,Another position,Voluntarily Terminated,Production,Michael Albert,22,On-line Web application,Fully Meets,5,5,0,03/02/2017,0,1,1,1,48,4.7,High,40s,Low
"Chace, Beatrice ",10067,61656,Production Technician I,MA,02763,01/02/1951,F,Single,US Citizen,No,White,29/09/2014,,N/A-StillEmployed,Active,Production,Michael Albert,22,Google Search,Fully Meets,5,4,0,02/12/2019,0,11,0,0,74,10.8,High,60+,High
"Medeiros, Jennifer",10068,55688,Production Technician I,MA,02346,22/09/1976,F,Single,US Citizen,No,White,30/03/2015,,N/A-StillEmployed,Active,Production,Michael Albert,22,CareerBuilder,Fully Meets,5,4,0,21/01/2019,0,10,0,0,48,10.3,High,40s,Medium
"Anderson, Carol ",10069,50825,Production Technician I,MA,02169,09/08/1989,F,Divorced,US Citizen,No,White,07/11/2011,09/06/2016,return to school,Voluntarily Terminated,Production,Webster Butler,39,Google Search,Fully Meets,5,4,0,02/01/2016,0,2,1,1,36,4.6,High,30s,Low
"DeGweck,  James",10070,55722,Production Technician I,MA,01810,31/10/1977,M,Married,US Citizen,No,White,16/05/2011,06/08/2016,unhappy,Voluntarily Terminated,Production,Webster Butler,39,Indeed,Fully Meets,5,4,0,04/02/2016,0,14,1,1,47,5.2,High,40s,Medium
"Sewkumar, Nori",10071,50923,Production Technician I,MA,02191,03/10/1975,F,Single,US Citizen,No,Asian,30/09/2013,,N/A-StillEmployed,Active,Production,Webster Butler,39,Google Search,Fully Meets,5,5,0,02/06/2019,0,14,0,0,49,11.8,High,40s,Low
"Whittier, Scott",10072,58371,Production Technician I,MA,02030,24/05/1987,M,Single,US Citizen,Yes,White,01/10/2011,15/05/2014,hours,Voluntarily Terminated,Production,Webster Butler,39,LinkedIn,Fully Meets,5,5,0,15/05/2014,0,11,1,1,38,2.6,High,30s,Medium
"Mancuso, Karen",10073,68407,Production Technician II,MA,02176,12/10/1986,F,Married,US Citizen,No,White,07/05/2011,19/08/2012,Another position,Voluntarily Terminated,Production,Amy Dunn,11,LinkedIn,Fully Meets,5,4,0,07/02/2012,0,16,1,1,38,1.3,High,30s,Very High
"Hankard, Earnest",10074,64246,Production Technician II,MA,02155,08/10/1988,M,Single,US Citizen,Yes,White,11/11/2013,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,LinkedIn,Fully Meets,5,3,0,01/08/2019,0,20,0,0,36,11.7,High,30s,High
"Hendrickson, Trina",10075,68099,Production Technician II,MA,02021,27/08/1972,F,Single,US Citizen,No,White,01/10/2011,18/06/2013,hours,Voluntarily Terminated,Production,Kelley Spirea,18,CareerBuilder,Fully Meets,5,3,0,30/01/2013,0,15,1,1,52,1.7,High,50s,Very High
"Carthy, B'rigit",10076,55315,Production Technician II,MA,02149,21/05/1987,F,Single,US Citizen,No,Black,30/03/2015,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,LinkedIn,Fully Meets,5,5,0,02/07/2019,0,16,0,0,38,10.3,High,30s,Low
"Manchester, Robyn",10077,62385,Production Technician II,MA,02324,25/08/1976,F,Married,US Citizen,No,White,05/11/2016,,N/A-StillEmployed,Active,Production,Webster Butler,39,LinkedIn,Fully Meets,5,3,0,21/01/2019,0,4,0,0,48,8.7,High,40s,High
"Oliver, Brooke ",10078,71966,Production Technician II,MA,02492,02/11/1952,F,Married,US Citizen,No,Asian,14/05/2012,19/08/2013,unhappy,Voluntarily Terminated,Production,Webster Butler,39,LinkedIn,Fully Meets,5,3,0,07/02/2013,0,17,1,1,72,1.3,High,60+,Very High
"Navathe, Kurt",10079,87921,Senior BI Developer,MA,02056,25/04/1970,M,Single,US Citizen,No,Asian,02/10/2017,,N/A-StillEmployed,Active,IS,Brian Champaigne,13,Indeed,Fully Meets,5,3,6,25/02/2019,0,17,0,0,55,7.8,High,50s,Very High
"Foster-Baker, Amy",10080,61620,Sr. Accountant,MA,02050,16/04/1979,F,Married,US Citizen,no,White,01/05/2009,,N/A-StillEmployed,Active,Admin Offices,Board of Directors,9,Other,Fully Meets,5,3,2,02/08/2019,0,3,0,0,46,16.3,High,40s,Medium
"Boutwell, Bonalyn",10081,61620,Sr. Accountant,MA,02468,04/04/1987,F,Married,US Citizen,No,Black,16/02/2015,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5,4,3,18/02/2019,0,4,0,0,38,10.5,High,30s,Medium
"Carr, Claudia  N",10082,61620,Sr. DBA,MA,01886,06/06/1986,F,Single,US Citizen,No,Black,30/06/2016,,N/A-StillEmployed,Active,IS,Simon Roup,4,LinkedIn,Fully Meets,5,5,6,18/02/2019,0,7,0,0,39,9.1,High,30s,Medium
"Cross, Noah",10083,92329,Sr. Network Engineer,CT,06278,09/09/1965,M,Single,US Citizen,No,White,11/10/2014,,N/A-StillEmployed,Active,IT,Peter Monroe,7,Employee Referral,Fully Meets,5,3,4,01/02/2019,0,5,0,0,59,10.8,High,50s,Very High
"Ait Sidi, Karthikeyan   ",10084,61620,Sr. DBA,MA,02148,05/05/1975,M,Married,US Citizen,No,White,30/03/2015,16/06/2016,career change,Voluntarily Terminated,IS,Simon Roup,4,Indeed,Fully Meets,4.96,3,6,24/02/2016,0,17,1,1,50,1.2,High,40s,Medium
"Carabbio, Judith",10085,93396,Software Engineer,MA,02132,04/05/1987,F,Single,US Citizen,No,White,11/11/2013,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.96,4,6,30/01/2019,0,3,0,0,38,11.7,High,30s,Very High
"Roper, Katie",10086,61620,Data Architect,MA,02056,21/11/1972,F,Single,US Citizen,No,Black,01/07/2017,,N/A-StillEmployed,Active,IS,Brian Champaigne,13,Indeed,Fully Meets,4.94,3,5,02/06/2019,0,17,0,0,52,8.1,High,50s,Medium
"Leach, Dallas",10087,63676,Production Technician I,MA,01810,17/01/1979,F,Single,US Citizen,No,Asian,26/09/2011,19/08/2018,return to school,Voluntarily Terminated,Production,Kissy Sullivan,20,CareerBuilder,Fully Meets,4.88,3,0,07/02/2017,0,17,1,1,46,6.9,High,40s,High
"Alagbe,Trina",10088,64991,Production Technician I,MA,01886,27/09/1988,F,Married,US Citizen,No,White,01/07/2008,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,0,01/03/2019,0,15,0,0,36,17.1,High,30s,High
"King, Janet",10089,61620,President & CEO,MA,01902,21/09/1954,F,Married,US Citizen,Yes,White,07/02/2012,,N/A-StillEmployed,Active,Executive Office,Board of Directors,9,Indeed,Fully Meets,4.83,3,0,17/01/2019,0,10,0,0,70,13.5,High,60+,Medium
"Spirea, Kelley",10090,65714,Production Manager,MA,02451,30/09/1975,F,Married,US Citizen,No,White,10/02/2012,,N/A-StillEmployed,Active,Production,Janet King,2,LinkedIn,Fully Meets,4.83,5,0,14/02/2019,0,15,0,0,49,13.5,High,40s,High
"Shields, Seffi",10091,52087,Production Technician I,MA,02149,24/08/1985,F,Married,US Citizen,No,White,19/08/2013,,N/A-StillEmployed,Active,Production,Amy Dunn,11,LinkedIn,Fully Meets,4.81,4,0,15/02/2019,0,15,0,0,39,12,High,30s,Low
"Landa, Hans",10092,82758,Production Manager,MA,01890,07/01/1972,M,Married,US Citizen,No,White,01/10/2011,12/12/2015,attendance,Terminated For Cause,Production,Janet King,2,Employee Referral,Fully Meets,4.78,4,0,15/02/2015,0,9,1,1,53,4.2,High,50s,Very High
"Fitzpatrick, Michael  J",10093,72609,Production Technician II,MA,02143,10/01/1981,M,Single,US Citizen,Yes,White,16/05/2011,24/06/2013,hours,Voluntarily Terminated,Production,Amy Dunn,11,Google Search,Fully Meets,4.76,5,0,04/05/2013,0,20,1,1,44,2.1,High,40s,Very High
"Cornett, Lisa ",10094,63381,Production Technician I,MA,02189,31/03/1977,F,Married,US Citizen,Yes,White,01/05/2015,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,Indeed,Fully Meets,4.73,5,0,14/02/2019,0,6,0,0,48,10.3,High,40s,High
"Sloan, Constance",10095,63878,Production Technician II,MA,01851,25/11/1987,F,Single,US Citizen,No,White,26/10/2009,04/08/2015,maternity leave - did not return,Voluntarily Terminated,Production,Michael Albert,22,CareerBuilder,Fully Meets,4.68,4,0,04/02/2015,0,20,1,1,37,5.8,High,30s,High
"Lundy, Susan",10096,67237,Production Technician II,MA,02122,26/12/1976,F,Widowed,US Citizen,No,White,07/08/2013,15/09/2016,more money,Voluntarily Terminated,Production,Michael Albert,22,LinkedIn,Fully Meets,4.65,4,0,06/10/2016,0,15,1,1,48,3.1,High,40s,Very High
